ISSN;PERIÓDICO;QUALIS;FI (JCR);H-index;Citações (2019-2022);Citações (média)
01491423;AAPG Bulletin;A1;1.29;142;1192;4
10696563;Academic Emergency Medicine;A1;1.37;130;1926;3
10402446;Academic Medicine;A1;1.66;162;5197;3
00014575;Accident Analysis and Prevention;A1;1.91;164;7163;7
09513574;Accounting, Auditing and Accountability Journal;A1;1.47;105;1626;5
00014842;Accounts of Chemical Research;A1;7.47;415;21321;23
03600300;ACM Computing Surveys;A1;5.09;172;7188;19
07342071;ACM Transactions on Computer Systems;A1;0.8;70;61;4
19466226;ACM Transactions on Computing Education;A1;0.99;37;377;4
07300301;ACM Transactions on Graphics;A1;7.15;221;6307;8
10468188;ACM Transactions on Information Systems;A1;1.58;84;738;6
15564681;ACM Transactions on Knowledge Discovery from Data;A1;1.57;60;931;4
19448252;ACS applied materials &amp- interfaces;A1;2.14;255;158584;10
21555435;ACS Catalysis;A1;4.2;231;50743;13
23747951;ACS Central Science;A1;4.09;95;9853;13
15548929;ACS Chemical Biology;A1;1.53;118;5128;5
15548937;ACS Chemical Biology;A1;1.53;118;5128;5
19487193;ACS Chemical Neuroscience;A1;1.14;79;6378;5
23738227;ACS Infectious Diseases;A1;1.25;46;3620;5
21611653;ACS Macro Letters;A1;1.71;101;5346;7
19360851;ACS Nano;A1;4.61;413;73021;17
23793694;ACS Sensors;A1;1.83;74;10286;9
21680485;ACS Sustainable Chemistry and Engineering;A1;1.74;132;52033;9
21615063;ACS Synthetic Biology;A1;1.54;74;4968;5
00945765;Acta Astronautica;A1;1.0;89;5737;3
00015237;Acta Astronomica;A1;0.73;64;119;2
17427061;Acta Biomaterialia;A1;1.66;207;18581;10
20525206;Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials;A1;0.6;36;720;2
13596454;Acta Materialia;A1;2.83;316;20936;9
00015962;Acta Mathematica;A1;4.41;68;136;4
00016322;Acta Neuropathologica;A1;5.2;184;5629;13
20515960;Acta neuropathologica communications;A1;2.42;64;4104;7
17453674;Acta Orthopaedica;A1;1.33;120;1532;4
22113835;Acta Pharmaceutica Sinica B;A1;2.2;65;5206;14
17481716;Acta Physiologica;A1;1.46;121;1972;4
01866028;ACTA SOCIOLOGICA;A1;0;0;0;0
0001706X;Acta Tropica;A1;0.76;106;3601;3
03355322;Actes de la Recherche en Sciences Sociales;A1;0.22;20;37;1
22704957;ACTES SÉMIOTIQUES (EN LIGNE);A1;0;0;0;0
09652140;Addiction;A1;2.06;202;4079;4
13556215;Addiction Biology;A1;1.19;83;1599;4
19400640;Addiction science &amp- clinical practice;A1;1.36;40;410;4
03064603;Addictive Behaviors;A1;1.37;135;5328;4
0894587X;Administration and Policy in Mental Health and Mental Health Services Research;A1;0.94;72;725;3
00018392;Administrative Science Quarterly;A1;17.36;191;1116;13
14740346;Advanced Engineering Informatics;A1;1.6;90;3071;8
14381656;Advanced Engineering Materials;A1;0.9;121;5187;4
1616301X;Advanced Functional Materials;A1;5.0;349;85979;19
21922659;Advanced healthcare materials;A1;2.02;105;11288;11
15214095;Advanced Materials;A1;8.66;563;125214;29
09359648;Advanced Materials;A1;8.66;563;125214;29
21951071;Advanced Optical Materials;A1;2.41;104;16087;10
16154150;Advanced Synthesis and Catalysis;A1;1.39;160;10229;6
00652113;Advances in Agronomy;A1;1.14;125;911;8
22124926;Advances in Biological Regulation;A1;1.53;64;798;6
18648258;Advances in Calculus of Variations;A1;1.27;21;132;2
18648266;Advances in Calculus of Variations;A1;1.27;21;132;2
00652423;Advances in Clinical Chemistry;A1;1.88;53;676;6
00018686;Advances in Colloid and Interface Science;A1;2.11;194;5244;15
08959374;Advances in dental research;A1;1.07;66;249;5
15440737;Advances in dental research;A1;1.07;66;249;5
10799389;Advances in Differential Equations;A1;0.86;53;89;1
00652504;Advances in Ecological Research;A1;0.61;65;292;6
09659978;Advances in Engineering Software;A1;0.92;86;1670;5
13824996;Advances in Health Sciences Education;A1;1.01;69;707;3
00018708;Advances in Mathematics;A1;1.94;99;2078;2
18984002;ADVANCES IN MEDICAL SCIENCES;A1;0;0;0;0
21565376;Advances in Nutrition;A1;2.15;103;3580;10
19438206;Advances in Optics and Photonics;A1;7.47;73;1121;22
0065308X;Advances in Parasitology;A1;1.15;94;464;4
10950761;Advances in Theoretical and Mathematical Physics;A1;0.99;75;186;2
03091708;Advances in Water Resources;A1;1.3;145;3700;5
21621934;Advances in Wound Care;A1;1.03;31;948;6
12709638;Aerospace Science and Technology;A1;1.42;88;11664;6
00020206;African Studies Review;A1;0.41;46;118;1
00020729;Age and Ageing;A1;1.75;153;2995;6
0144686X;Ageing and Society;A1;0.7;88;1216;3
15681637;Ageing Research Reviews;A1;2.44;131;3670;12
0096140X;Aggressive Behavior;A1;0.93;98;587;3
13607863;Aging and Mental Health;A1;0.99;96;2686;4
19454589;Aging;A1;1.21;103;15258;5
21525250;Aging and Disease;A1;1.72;63;2967;9
14749718;Aging Cell;A1;2.75;151;5351;10
08745498;Agora - Estudos Classicos em Debate;A1;0.1;4;3;0
0308521X;Agricultural Systems;A1;1.55;118;3696;7
03783774;Agricultural Water Management;A1;1.49;139;8801;7
01678809;Agriculture, Ecosystems and Environment;A1;1.66;186;6709;7
17740746;Agronomy for Sustainable Development;A1;1.61;117;1432;8
00011452;AIAA Journal;A1;1.06;164;4411;3
00011541;AICHE Journal;A1;0.81;173;4250;4
02699370;AIDS;A1;1.7;222;3284;3
15733254;AIDS and Behavior;A1;1.7;113;4715;4
