,titulo,resumo,resumo_traduzido,revista,data,qualis,H-index,doi,pro,contra,indefinido,resultados
10,Lack of Association of Baseline 25-Hydroxyvitamin D Levels and Cholecalciferol Treatment With Disease Severity and Mortality in Indian Patients Hospitalized for Covid-19.,"Vitamin D deficiency (VDD) owing to its immunomodulatory effects is believed to influence outcomes in COVID-19. We conducted a prospective, observational study of patients, hospitalized with COVID-19. Serum 25-OHD level < 20 ng/mL was considered VDD. Patients were classified as having mild and severe disease on basis of the WHO ordinal scale for clinical improvement (OSCI). Of the 410 patients recruited, patients with VDD (197,48.2%) were significantly younger and had lesser comorbidities. The levels of PTH were significantly higher in the VDD group (63.5 ± 54.4 vs. 47.5 ± 42.9 pg/mL). The proportion of severe cases (13.2% vs.14.6%), mortality (2% vs. 5.2%), oxygen requirement (34.5% vs.43.4%), ICU admission (14.7% vs.19.8%) was not significantly different between patients with or without VDD. There was no significant correlation between serum 25-OHD levels and inflammatory markers studied. Serum parathormone levels correlated with D-dimer (r 0.117, p- 0.019), ferritin (r 0.132, p-0.010), and LDH (r 0.124, p-0.018). Amongst VDD patients, 128(64.9%) were treated with oral cholecalciferol (median dose of 60,000 IU). The proportion of severe cases, oxygen, or ICU admission was not significantly different in the treated vs. untreated group. In conclusion, serum 25-OHD levels at admission did not correlate with inflammatory markers, clinical outcomes, or mortality in hospitalized COVID-19 patients. Treatment of VDD with cholecalciferol did not make any difference to the outcomes.",-,-,_,-,_,10.21203/rs.3.rs-129238/v1,,"['cholecalciferol', 'oxygen']",,-
12,Credible learning of hydroxychloroquine and dexamethasone effects on COVID-19 mortality outside of randomized trials.,"The assumptions required for a beneficial effect of hydroxychloroquine on 14 day mortality are difficult to sustain, while the assumptions required for hydroxychloroquine to be harmful are difficult to reject with confidence. Dexamethasone, by contrast, was beneficial under a wide range of plausible assumptions, and was only harmful if a nearly impossible assumption is met. More broadly, the SCQE reveals what inferences can be credibly supported by evidence from non-randomized uses of experimental therapies, making it a useful tool when randomized trials have not yet produced clear evidence or to provide corroborative evidence from different populations.",-,-,_,-,_,10.1101/2020.12.06.20244798,['dexamethasone'],['hydroxychloroquine'],,-
15,A Phase 1: Safety and Immunogenicity Trial of an Inactivated SARS-CoV-2 Vaccine-BBV152.,"Safe and effective vaccines against SARS-CoV-2 for children are urgently needed. Here we aimed to assess the safety and immunogenicity of an inactivated COVID-19 vaccine candidate, WIBP-CorV, in participants aged 3-17 years. A randomized, double-blind, placebo-controlled, phase 1/2 clinical trial was conducted in Henan Province, China, in healthy children aged 3-17 years. 240 participants in phase 1 trial and 576 participants in phase 2 trial were randomly assigned to vaccine or control with an age de-escalation in three cohorts (3-5, 6-12 and 13-17 years) and dose-escalation in three groups (2.5, 5.0 and 10.0μg/dose), and received 3 intramuscular injections at day 0, 28, and 56. WIBP-CorV showed a promising safety profile with approximately 17% adverse reactions within 30 days after injection and no grade 3 or worse adverse events. The most common adverse reaction was injection site pain, followed by fever, which were mild and self-limiting. The geometric mean titers of neutralizing antibody ranged from 102.2 to 1065.5 in vaccinated participants at 28 days after the third vaccination, and maintained at a range of 14.3 to 218.2 at day 180 after the third vaccination. WIBP-CorV elicited significantly higher titers of neutralizing antibody in the cohort aged 3-5 years than the other two cohorts. There were no detectable antibody responses in all alum-only groups. Taken together, our data demonstrate that WIBP-CorV is safe and well tolerated at all tested doses in participants aged 3-17 years, and elicited robust humoral responses against SARS-CoV-2 lasted for at least 6 months after the third vaccination. This study is ongoing and is registered with www.chictr.org.cn, ChiCTR2000031809.",-,-,_,-,_,10.1101/2020.12.11.20210419,['vaccine'],,,-
27,The efficacy and safety of hydroxychloroquine in COVID19 patients: a multicenter national retrospective cohort.,"Our results showed no significant beneficial effect of using hydroxychloroquine on the outcome of patients with COVID-19. Moreover, the risk of hypoglycemia due to hydroxychloroquine would possess a significant risk for out-of-hospital use.",-,-,_,-,_,10.1101/2020.11.25.20234914,,['hydroxychloroquine'],,-
48,Role of ivermectin in the prevention of COVID-19 infection among healthcare workers in India: A matched case-control study,Two-dose ivermectin prophylaxis at a dose of 300 μg/kg with a gap of 72 hours was associated with a 73% reduction of SARS-CoV-2 infection among healthcare workers for the following month. Chemoprophylaxis has relevance in the containment of pandemic.,-,-,_,-,_,10.1101/2020.10.29.20222661,,,['ivermectin'],-
56,"Safety, Tolerability, and Immunogenicity of COVID-19 Vaccines: A Systematic Review and Meta-Analysis","We aimed to summarize reliable medical evidence by the meta-analysis of all published clinical trials that investigated the safety, tolerability, and immunogenicity of vaccine candidates against coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The PubMed, Cochrane Library, EMBASE, and medRxiv databases were used to select the studies. 7094 articles were identified initially and 43 were retrieved for more detailed evaluation. 5 randomized, double-blind, placebo-controlled trials were selected. A total of 1604 subjects with either vaccines or placebo infections were included in the meta-analysis within the scope of these articles. According to the results, there is an increase in total adverse events for subjects with either low (95% ",-,-,_,-,_,10.1101/2020.11.03.20224998,['vaccine'],,,-
64,Dexamethasone use and Mortality in Hospitalized Patients with Coronavirus Disease 2019: a Multicenter Retrospective Observational Study,"In this multicentre observational study, dexamethasone use administered either orally or by intravenous injection at a cumulative dose between 60 mg and 150 mg was associated with reduced mortality among patients with COVID-19 requiring respiratory support.",-,-,_,-,_,10.1101/2020.10.23.20218172,['dexamethasone'],,,-
74,CLINICAL COURSE AND OUTCOME OF COVID-19 ACUTE RESPIRATORY DISTRESS SYNDROME: DATA FROM A NATIONAL REPOSITORY,"Among those hospitalized for COVID-19, nearly 1 in 10 progressed to ARDS. Septic shock, and acute renal failure are the leading causes of death in these patients. Treatment with either remdesivir and corticosteroids reduced the risk of mortality from ARDS. All hospitalized patients with COVID-19 should be placed at a minimum on prophylactic doses of anticoagulation.",-,-,_,-,_,10.1101/2020.10.16.20214130,,['remdesivir'],,-
75,Tocilizumab in Treatment of Severe COVID-19 Patients: A Systematic Review and Meta-Analysis of Cohort Studies,"Based on cumulative low-to-moderate certainty evidence shows that TCZ could reduce the risk of mortality in hospitalised patients. However, there is no statistically significant difference observed between the TCZ and SOC/control groups in other parameters.",-,-,_,-,_,10.22541/au.160071232.27950965,,['tocilizumab'],,-
83,Comparison of Efficacy of Dexamethasone and Methylprednisolone in Improving the Partial Pressure of Arterial Oxygen and Fraction of Inspired Oxygen Ratio among COVID-19,"Introduction Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is the reason for the global pandemic that started from Wuhan, China, in December 2019, known as coronavirus diseases 2019 (COVID-19). Acute respiratory distress syndrome happened in COVID-19 not just because of uncontrolled viral replication but also because of an uncontrolled immune reaction from the host. That's why antiviral and anti-inflammatory treatments have become an increasing concern for clinicians. Methods A retrospective quasi-experimental study design was used to assess the effectiveness of methylprednisolone and dexamethasone in the improvement of PaO",-,-,_,-,_,10.1101/2020.10.06.20171579,"['dexamethasone', 'methylprednisolone', 'oxygen']",,,-
