Título	link	data	tipo	doi	issn	ISSN	Periódico	Qualis	FI (JCR)	H-index	media_citacao_3_anos	Resumo_antigo	Categorias	categories	Resumo	PUBMEDID	Periódico	ISSN	DOI	Tradução do título	Tradução do resumo
Systematic review and patient-level meta-analysis of SARS-CoV-2 viral dynamics to model response to antiviral therapies	https://doi.org/10.1101/2020.08.20.20178699	23/09/2020	Preprint	10.1101/2020.08.20.20178699	-	-	-	-	-	-	-	-	['Interferon', 'Lopinavir', 'Remdesivir', 'Ribavirina', 'Ritonavir']	['Interferon', 'Lopinavir', 'Remdesivir', 'Ribavirin', 'Ritonavir']	Severe acute respiratory syndrome-coronavirus 2 (SARS-CoV-2) viral loads change rapidly following symptom onset, so to assess antivirals it is important to understand the natural history and patient factors influencing this. We undertook an individual patient-level meta-analysis of SARS-CoV-2 viral dynamics in humans to describe viral dynamics and estimate the effects of antivirals used to date. This systematic review identified case reports, case series, and clinical trial data from publications between January 1, 2020, and May 31, 2020, following Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. A multivariable Cox proportional hazards (Cox-PH) regression model of time to viral clearance was fitted to respiratory and stool samples. A simplified four parameter nonlinear mixed-effects (NLME) model was fitted to viral load trajectories in all sampling sites and covariate modeling of respiratory viral dynamics was performed to quantify time-dependent drug effects. Patient-level data from 645 individuals (age 1 month to 100 years) with 6,316 viral loads were extracted. Model-based simulations of viral load trajectories in samples from the upper and lower respiratory tract, stool, blood, urine, ocular secretions, and breast milk were generated. Cox-PH modeling showed longer time to viral clearance in older patients, men, and those with more severe disease. Remdesivir was associated with faster viral clearance (adjusted hazard ratio (AHR) = 9.19, P < 0.001), as well as interferon, particularly when combined with ribavirin (AHR = 2.2, P = 0.015; AHR = 6.04, P = 0.006). Combination therapy should be further investigated. A viral dynamic dataset and NLME model for designing and analyzing antiviral trials has been established.	33641159	Clinical pharmacology and therapeutics	1532-6535	10.1002/cpt.2223	Revisão sistemática e meta-análise no nível do paciente da dinâmica viral do SARS-CoV-2 para modelar a resposta às terapias antivirais 	As cargas virais da síndrome respiratória aguda grave-coronavírus 2 (SARS-CoV-2) mudam rapidamente após o início dos sintomas, para avaliar os antivirais é importante entender a história natural e os fatores do paciente que influenciam isso. Realizamos uma meta-análise individual da dinâmica viral do SARS-CoV-2 em humanos para descrever a dinâmica viral e estimar os efeitos dos antivirais usados até o momento. Esta revisão sistemática identificou relatos de casos, séries de casos e dados de ensaios clínicos de publicações entre 1º de janeiro de 2020 e 31 de maio de 2020, seguindo as diretrizes de Itens de Relatório Preferenciais para Revisões Sistemáticas e Meta-análises. Um modelo de regressão multivariável de riscos proporcionais de Cox (Cox-PH) de tempo para a depuração viral foi ajustado para amostras respiratórias e de fezes. Um modelo simplificado de efeitos mistos não lineares de quatro parâmetros (NLME) foi ajustado às trajetórias de carga viral em todos os locais de amostragem e a modelagem covariável da dinâmica viral respiratória foi realizada para quantificar os efeitos da droga dependentes do tempo. Dados em nível de paciente de 645 indivíduos (idade de 1 mês a 100 anos) com 6.316 cargas virais foram extraídos. Foram geradas simulações baseadas em modelos de trajetórias de carga viral em amostras do trato respiratório superior e inferior, fezes, sangue, urina, secreções oculares e leite materno. A modelagem de Cox-PH mostrou maior tempo para a eliminação viral em pacientes mais velhos, homens e aqueles com doença mais grave. O remdesivir foi associado a uma depuração viral mais rápida (taxa de risco ajustada (AHR) = 9,19, P < 0,001), bem como interferon, particularmente quando combinado com ribavirina (AHR = 2,2, P = 0,015; AHR = 6,04, P = 0,006). A terapia combinada deve ser mais investigada. Foi estabelecido um conjunto de dados dinâmicos virais e um modelo NLME para projetar e analisar ensaios antivirais.
Hydroxychloroquine-Induced Stevens-Johnson Syndrome in COVID-19: A rare Case Report.	https://www.researchsquare.com/article/rs-26196/v1	01/05/2020	Preprint	https://www.researchsquare.com/article/rs-26196/v1	-	-	-	-	-	-	-	-	['Hidroxicloroquina']	['Hydroxychloroquine']	The international outbreak of respiratory illness termed coronavirus disease 2019 (COVID-19) began in December 2019 that has affected >0.8 million individuals. Self-limiting respiratory tract involvement, severe pneumonia, multiorgan failure and death are the spectrum of COVID-19. To date, there are no especial therapeutic agents for COVID-19 infections. One such medication includes the antimalarial hydroxychloroquine (HCQ), which recently reported as a possible therapy for shortening the duration of COVID-19 symptoms, reducing inflammatory reactions to infection, impairing the exacerbation of pneumonia and boosting lung imaging findings. Like all medications, HCQ has side effects and may occur in COVID-19 patients. Here, we report on the case of a 42-year-old woman, presented with fever and dry cough, who had COVID-19 and 2 days later presented with a pruritic erythematous maculopapular rash, which started from the distal of upper extremities and rapidly, involved the entire body.	32617169	Oxford medical case reports	2053-8855	10.1093/omcr/omaa042	Síndrome de Stevens-Johnson induzida por hidroxicloroquina no COVID-19: um relato de caso raro. 	O surto internacional de doença respiratória denominado doença de coronavírus 2019 (COVID-19) começou em dezembro de 2019 e afetou mais de 0,8 milhão de indivíduos. Envolvimento autolimitado do trato respiratório, pneumonia grave, falência de múltiplos órgãos e morte são o espectro do COVID-19. Até o momento, não existem agentes terapêuticos especiais para infecções por COVID-19. Um desses medicamentos inclui o antimalárico hidroxicloroquina (HCQ), que recentemente relatou como uma possível terapia para encurtar a duração dos sintomas de COVID-19, reduzir as reações inflamatórias à infecção, prejudicar a exacerbação da pneumonia e aumentar os achados de imagem pulmonar. Como todos os medicamentos, o HCQ tem efeitos colaterais e pode ocorrer em pacientes com COVID-19. Aqui, relatamos o caso de uma mulher de 42 anos, com febre e tosse seca, que teve COVID-19 e 2 dias depois apresentou uma erupção maculopapular eritematosa pruriginosa, que começou na distal das extremidades superiores e rapidamente , envolveu todo o corpo.
Clinical features, Diagnosis, and Treatment of COVID-19: A systematic review of case reports and case series	https://doi.org/10.1101/2020.03.28.20046151	03/04/2020	Preprint	10.1101/2020.03.28.20046151	-	-	-	-	-	-	-	-	['Lopinavir', 'Lopinavir', 'Meropenem', 'Meropenem', 'Moxifloxacina', 'Moxifloxacina', 'Oseltamivir', 'Oseltamivir', 'Umifenovir', 'Umifenovir']	['Lopinavir', 'Lopinavir', 'Meropenem', 'Meropenem', 'Moxifloxacin', 'Moxifloxacin', 'Oseltamivir', 'Oseltamivir', 'Umifenovir', 'Umifenovir']	-	-	-	-	-	Características clínicas, diagnóstico e tratamento do COVID-19: uma revisão sistemática de relatos de casos e séries de casos 	-
Directly Acting Antivirals for COVID-19: Where Do We Stand?	https://www.frontiersin.org/articles/10.3389/fmicb.2020.01857/full	05/08/2020	Artigo completo publicado em periódico científico	10.3389/fmicb.2020.01857/full	-	-	-	-	-	-	-	-	['Azivudina', 'Baloxavir marboxil', 'Danoprevir', 'Darunavir', 'Favipiravir', 'Lopinavir', 'Oseltamivir', 'Remdesivir', 'Ritonavir', 'Triazavirina', 'Umifenovir']	['Azivudine', 'Baloxavir marboxil', 'Danoprevir', 'Darunavir', 'Favipiravir', 'Lopinavir', 'Oseltamivir', 'Remdesivir', 'Ritonavir', 'Triazavirin', 'Umifenovir']	The outbreak of a novel coronavirus (SARS-CoV-2) in Wuhan, China in December 2019 has now become a pandemic with no approved therapeutic agent. At the moment, the genomic structure, characteristics, and pathogenic mechanisms of SARS-CoV-2 have been reported. Based upon this information, several drugs including the directly acting antivirals have been proposed to treat people with coronavirus disease 2019 (COVID-19). This rapid review aims to describe the directly acting antivirals that have been examined for use in the management of COVID-19. Searches were conducted in three electronic databases, supplemented with a search on arXiv, bioRxiv, medRxiv, ChinaXiv, ClinicalTrials.gov, and Chinese Clinical Trial Registry for studies examining the use of antivirals in COVID-19 to identify for case reports, case series, observational studies, and randomized controlled studies describing the use of antivirals in COVID-19. Data were extracted independently and presented narratively. A total of 98 studies were included, comprising of 38 published studies and 60 registered clinical trials. These drugs include the broad spectrum antivirals such as umifenovir, protease inhibitors such as lopinavir/ritonavir as well as the RNA-dependent RNA polymerase inhibitors, remdesivir, and favipiravir. Other drugs that have been used include the nucleosidase inhibitors and polymerase acidic endonuclease inhibitors which are currently approved for prevention of influenza infections. While some of the drugs appear promising in small case series and reports, more clinical trials currently in progress are required to provide higher quality evidence.	32849448	Frontiers in microbiology	1664-302X	10.3389/fmicb.2020.01857	Antivirais de ação direta para COVID-19: onde estamos? 	O surto de um novo coronavírus (SARS-CoV-2) em Wuhan, China, em dezembro de 2019, tornou-se uma pandemia sem agente terapêutico aprovado. No momento, a estrutura genômica, características e mecanismos patogênicos do SARS-CoV-2 foram relatados. Com base nessas informações, vários medicamentos, incluindo os antivirais de ação direta, foram propostos para tratar pessoas com doença de coronavírus 2019 (COVID-19). Esta revisão rápida tem como objetivo descrever os antivirais de ação direta que foram examinados para uso no gerenciamento do COVID-19. As pesquisas foram realizadas em três bancos de dados eletrônicos, complementados com uma pesquisa no arXiv, bioRxiv, medRxiv, ChinaXiv, ClinicalTrials.gov e Chinese Clinical Trial Registry para estudos que examinam o uso de antivirais no COVID-19 para identificar relatos de casos, séries de casos, estudos observacionais e estudos controlados randomizados que descrevem o uso de antivirais no COVID-19. Os dados foram extraídos de forma independente e apresentados de forma narrativa. Um total de 98 estudos foram incluídos, compreendendo 38 estudos publicados e 60 ensaios clínicos registrados. Esses medicamentos incluem os antivirais de amplo espectro, como umifenovir, inibidores de protease, como lopinavir/ritonavir, bem como os inibidores de RNA polimerase dependentes de RNA, remdesivir e favipiravir. Outras drogas que têm sido usadas incluem os inibidores da nucleosidase e os inibidores da endonuclease ácida da polimerase que estão atualmente aprovados para a prevenção de infecções por influenza. Embora alguns dos medicamentos pareçam promissores em pequenas séries de casos e relatórios, são necessários mais ensaios clínicos atualmente em andamento para fornecer evidências de maior qualidade.
Fatal COVID-19 in an MS patient on natalizumab: A case report	https://journals.sagepub.com/doi/full/10.1177/2055217320942931	10/08/2020	Artigo completo publicado em periódico científico	10.1177/2055217320942931	2055-2173	20552173	MULTIPLE SCLEROSIS JOURNAL - EXPERIMENTAL, TRANSLATIONAL AND CLINICAL	C	0.849	20	2.59	  We report a fatal case of COVID-19 in a 51-year-old African American woman with multiple sclerosis on natalizumab. She had multiple risk factors for severe COVID-19 disease including race, obesity, hypertension, and elevated inflammatory markers, but the contribution of natalizumab to her poor outcome remains unknown. We consider whether altered dynamics of peripheral immune cells in the context of natalizumab treatment could worsen the cytokine storm syndrome associated with severe COVID-19. We discuss extended interval dosing as a risk-reduction strategy for multiple sclerosis patients on natalizumab, and the use of interleukin-6 inhibitors in such patients who contract COVID-19. 	['Natalizumabe']	['Natalizumab']	-	-	-	-	-	COVID-19 fatal em paciente com EM em uso de natalizumabe: relato de caso 	-
Heparin-induced thrombocytopenia in COVID-19 patients with severe acute respiratory distress syndrome requiring extracorporeal membrane oxygenation: two case reports	https://doi.org/10.1007/s10047-020-01203-x	12/08/2020	Artigo completo publicado em periódico científico	10.1007/s10047-020-01203-x	1434-7229	14347229	Journal of Artificial Organs	-	0.331	40	1.49	-	['Argatrobana', 'Heparina']	['Argatroban', 'Heparin']	Veno-venous (VV) extracorporeal membrane oxygenation (ECMO) is increasingly used in Coronavirus disease-19 (COVID-19) patients with the most severe forms of acute respiratory distress syndrome (ARDS). Its use is associated with a significant hemostatic challenge, especially in COVID- 19 patients who have been demonstrated to otherwise present a COVID-19-associated coagulopathy. The systematic use of unfractionated heparin therapy to prevent circuit thrombosis is warranted during ECMO support. The clinical presentation and management of heparin-induced thrombocytopenia, which is a rare but life-threatening complication of heparin therapy, has not been described in those patients yet. We report herein two cases of laboratory-confirmed HIT in COVID-19 patients with severe ARDS admitted to our intensive care unit for VV-ECMO support and the successful use of argatroban as an alternative therapy. We also provide a brief literature review of best evidence for managing such patients. The diagnosis and management of HIT is particularly challenging in COVID-19 patients receiving ECMO support. An increased awareness is warranted in those patients who already present a procoagulant state leading to higher rates of thrombotic events which can confuse the issues. Argatroban seems to be an appropriate and safe therapeutic option in COVID-19 patients with HIT while on VV-ECMO.	32789604	Journal of artificial organs : the official journal of the Japanese Society for Artificial Organs	1619-0904	10.1007/s10047-020-01203-x	COVID -19 com síndrome do desconforto respiratório agudo grave que requer oxigenação por membrana extracorpórea: relatos de dois casos 	as formas mais graves da síndrome do desconforto respiratório agudo (SDRA). Seu uso está associado a um desafio hemostático significativo, especialmente em pacientes com COVID-19 que demonstraram apresentar uma coagulopatia associada à COVID-19. O uso sistemático da terapia com heparina não fracionada para prevenir a trombose do circuito é garantido durante o suporte com ECMO. A apresentação clínica e o manejo da trombocitopenia induzida pela heparina, que é uma complicação rara, mas com risco de vida, da terapia com heparina, ainda não foi descrita nesses pacientes. Relatamos aqui dois casos de TIH confirmados laboratorialmente em pacientes com COVID-19 com SDRA grave internados em nossa unidade de terapia intensiva para suporte com VV-ECMO e o uso bem-sucedido de argatroban como terapia alternativa. Também fornecemos uma breve revisão da literatura das melhores evidências para o manejo desses pacientes. O diagnóstico e o gerenciamento de TIH são particularmente desafiadores em pacientes com COVID-19 que recebem suporte de ECMO. Uma maior conscientização é necessária naqueles pacientes que já apresentam um estado pró-coagulante levando a maiores taxas de eventos trombóticos que podem confundir as questões. O argatroban parece ser uma opção terapêutica adequada e segura em pacientes com COVID-19 com TIH enquanto em VV-ECMO.
A case report of a pregnant woman infected with coronavirus disease 2019 pneumonia	https://pubmed.ncbi.nlm.nih.gov/32791731/	24/07/2020	Artigo completo publicado em periódico científico	PUBMED_ID:32791731/	-	-	-	-	-	-	-	-	['Cefalosporina']	['Cephalosporin']	-	-	-	-	-	Um relato de caso de uma mulher grávida infectada com pneumonia por doença de coronavírus 2019 	-
Short-term corticosteroid therapy for early exacerbation of COVID-19 pneumonia: a case report	https://pubmed.ncbi.nlm.nih.gov/32796809/	14/08/2020	Artigo completo publicado em periódico científico	PUBMED_ID:32796809/	-	-	-	-	-	-	-	-	['Prednisona']	['Prednisone']	BACKGROUND The effect of corticosteroids in the management of patients with coronavirus disease 2019 (COVID-19) is unclear. CASE REPORT A 67-year-old man who tested positive for COVID-19 by reverse-transcription PCR (RT-PCR) analysis was admitted to our hospital. On admission, he had no dyspnea and his oxygen saturation (SpO₂) level was normal. Chest imaging revealed ground-glass opacities (GGO) distributed in both lung fields. Four days after admission, bilateral lung shadows worsened, with a slight reduction in SpO₂ levels. Short-term corticosteroid therapy was initiated, and SpO₂ and radiographic findings promptly improved without use of antiviral agents. CONCLUSIONS More data are required to ascertain the role of corticosteroids in the management of COVID-19 pneumonia.	32796809	The American journal of case reports	1941-5923	10.12659/AJCR.924476	Corticoterapia de curto prazo para exacerbação precoce da pneumonia por COVID-19: relato de caso 	ANTECEDENTES O efeito dos corticosteróides no manejo de pacientes com doença por coronavírus 2019 (COVID-19) não é claro. RELATO DE CASO Um homem de 67 anos que testou positivo para COVID-19 por análise de PCR de transcrição reversa (RT-PCR) foi admitido em nosso hospital. Na admissão, ele não apresentava dispneia e seu nível de saturação de oxigênio (SpO₂) era normal. A imagem do tórax revelou opacidades em vidro fosco (GGO) distribuídas em ambos os campos pulmonares. Quatro dias após a admissão, as sombras pulmonares bilaterais pioraram, com discreta redução dos níveis de SpO₂. Iniciou-se corticoterapia a curto prazo e a SpO₂ e os achados radiográficos melhoraram prontamente sem o uso de agentes antivirais. CONCLUSÕES São necessários mais dados para determinar o papel dos corticosteroides no manejo da pneumonia por COVID-19.
Prolonged QT Interval in a PatientWith Coronavirus Disease-2019: Beyond Hydroxychloroquine and Azithromycin	https://doi.org/10.1177/2324709620948407	12/08/2020	Artigo completo publicado em periódico científico	10.1177/2324709620948407	2324-7096	23247096	JOURNAL OF INVESTIGATIVE MEDICINE HIGH IMPACT CASE REPORTS (ONLINE)	A4	0.296	15	1.13	  Recent reports have suggested an increased risk of QT prolongation and subsequent life-threatening ventricular arrhythmias, particularly torsade de pointes, in patients with coronavirus disease-2019 (COVID-19) treated with hydroxychloroquine and azithromycin. In this article, we report the case of a 75-year-old female with a baseline prolonged QT interval in whom the COVID-19 illness resulted in further remarkable QT prolongation (&gt;700 ms), precipitating recurrent self-terminating episodes of torsade de pointes that necessitated temporary cardiac pacing. Despite the correction of hypoxemia and the absence of reversible factors, such as adverse medication effects, electrolyte derangements, and usage of hydroxychloroquine/azithromycin, the QT interval remained persistently prolonged compared with the baseline with subsequent degeneration into ventricular tachycardia and death. Thus, we highlight that COVID-19 illness itself can potentially lead to further prolongation of QT interval and unmask fatal ventricular arrhythmias in patients who have a prolonged QT and low repolarization reserve at baseline. 	[]	[]	-	-	-	-	-	Intervalo QT prolongado em um paciente com doença de coronavírus-2019: além da hidroxicloroquina e da azitromicina 	-
Thrombolysis and use of argatroban for the treatment of massive pulmonary embolism following anticoagulation failure in a patient with COVID-19	https://doi.org/10.1093/ajhp/zxaa287	11/08/2020	Artigo completo publicado em periódico científico	10.1093/ajhp/zxaa287	1079-2082	10792082	American Journal of Health-System Pharmacy	-	0.483	99	1.59	 Abstract                                   Purpose                   Successful use of alteplase and argatroban to treat a patient with coronavirus disease 2019 (COVID-19)–associated massive pulmonary embolism with cardiac arrest is reported.                                                  Summary                   This case report describes a 42-year-old male with COVID-19 who developed a massive pulmonary embolism resulting in cardiac arrest after suspected failure of low-molecular-weight heparin therapy for a deep venous thrombosis. Administration of two 50-mg doses of intravenous alteplase resulted in return of spontaneous circulation, and low-dose argatroban was used as follow-up anticoagulation therapy without complications. This is the first case report of use of argatroban in a patient with COVID-19 with cardiac arrest–associated massive pulmonary embolism after failure of previous anticoagulation efforts.                                                  Conclusion                   Argatroban may be used as an alternate anticoagulation strategy in COVID-19 patients who fail low-molecular weight therapy. A risk versus benefit discussion should be had regarding appropriateness of therapy as well as dosing. More data is needed to understand the unique hypercoagulable condition in COVID-19 patients as well as research that further highlights the role of argatroban and bivalirudin therapy in this patient population.               	['Argatrobana']	['Argatroban']	-	-	-	-	-	Trombólise e uso de argatroban para tratamento de embolia pulmonar maciça após falha de anticoagulação em paciente com COVID-19 	-
