Título	link	data	tipo	doi	issn	ISSN	Periódico	Qualis	FI (JCR)	H-index	media_citacao_3_anos	Resumo_antigo	Categorias	categories	Resumo	PUBMEDID	Periódico	ISSN	DOI	Tradução do título	Tradução do resumo
Efficacy of propolis as an adjunct treatment for hospitalized COVID-19 patients: a randomized, controlled clinical trial.	https://doi.org/10.1101/2021.01.08.20248932	09/01/2021	Preprint	10.1101/2021.01.08.20248932	-	-	-	-	-	-	-	-	['Própolis']	['Propolis']	Addition of propolis to the standard care procedures resulted in clinical benefits for the hospitalized COVID-19 patients, especially evidenced by a reduction in the length of hospital stay. Consequently, we conclude that propolis can reduce the impact of COVID-19.	34311528	Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie	1950-6007	10.1016/j.biopha.2021.111526	Eficácia da própolis como tratamento adjuvante para pacientes hospitalizados com COVID-19: um ensaio clínico randomizado e controlado. 	A adição de própolis aos procedimentos de atendimento padrão resultou em benefícios clínicos para os pacientes hospitalizados com COVID-19, especialmente evidenciados pela redução do tempo de internação hospitalar. Consequentemente, concluímos que a própolis pode reduzir o impacto do COVID-19.
Safety and Effectiveness of High-Dose Vitamin C in Patients with COVID-19; A Randomized Controlled open-label Clinical Trial.	https://doi.org/10.21203/rs.3.rs-139942/v1	08/01/2021	Preprint	10.21203/rs.3.rs-139942/v1	-	-	-	-	-	-	-	-	['Ácido ascórbico']	['Ascorbic acid']	-	-	-	-	-	Segurança e eficácia de altas doses de vitamina C em pacientes com COVID-19; Um Ensaio Clínico Randomizado Controlado Aberto. 	-
A Phase 1: Safety and Immunogenicity Trial of an Inactivated SARS-CoV-2 Vaccine-BBV152.	https://doi.org/10.1101/2020.12.11.20210419	15/12/2020	Preprint	10.1101/2020.12.11.20210419	-	-	-	-	-	-	-	-	['Covaxin']	['Covaxin']	Safe and effective vaccines against SARS-CoV-2 for children are urgently needed. Here we aimed to assess the safety and immunogenicity of an inactivated COVID-19 vaccine candidate, WIBP-CorV, in participants aged 3-17 years. A randomized, double-blind, placebo-controlled, phase 1/2 clinical trial was conducted in Henan Province, China, in healthy children aged 3-17 years. 240 participants in phase 1 trial and 576 participants in phase 2 trial were randomly assigned to vaccine or control with an age de-escalation in three cohorts (3-5, 6-12 and 13-17 years) and dose-escalation in three groups (2.5, 5.0 and 10.0μg/dose), and received 3 intramuscular injections at day 0, 28, and 56. WIBP-CorV showed a promising safety profile with approximately 17% adverse reactions within 30 days after injection and no grade 3 or worse adverse events. The most common adverse reaction was injection site pain, followed by fever, which were mild and self-limiting. The geometric mean titers of neutralizing antibody ranged from 102.2 to 1065.5 in vaccinated participants at 28 days after the third vaccination, and maintained at a range of 14.3 to 218.2 at day 180 after the third vaccination. WIBP-CorV elicited significantly higher titers of neutralizing antibody in the cohort aged 3-5 years than the other two cohorts. There were no detectable antibody responses in all alum-only groups. Taken together, our data demonstrate that WIBP-CorV is safe and well tolerated at all tested doses in participants aged 3-17 years, and elicited robust humoral responses against SARS-CoV-2 lasted for at least 6 months after the third vaccination. This study is ongoing and is registered with www.chictr.org.cn, ChiCTR2000031809.	35812412	Frontiers in immunology	1664-3224	10.3389/fimmu.2022.898151	A Fase 1: Ensaio de segurança e imunogenicidade de uma vacina inativada contra SARS-CoV-2-BBV152. 	Vacinas seguras e eficazes contra SARS-CoV-2 para crianças são urgentemente necessárias. Aqui, nosso objetivo foi avaliar a segurança e a imunogenicidade de uma vacina candidata inativada contra COVID-19, WIBP-CorV, em participantes de 3 a 17 anos. Um ensaio clínico de fase 1/2 randomizado, duplo-cego, controlado por placebo, foi realizado na província de Henan, China, em crianças saudáveis de 3 a 17 anos. 240 participantes no estudo de fase 1 e 576 participantes no estudo de fase 2 foram aleatoriamente designados para vacina ou controle com redução de idade em três coortes (3-5, 6-12 e 13-17 anos) e aumento de dose em três grupos (2,5, 5,0 e 10,0μg/dose) e recebeu 3 injeções intramusculares nos dias 0, 28 e 56. WIBP-CorV mostrou um perfil de segurança promissor com aproximadamente 17% de reações adversas dentro de 30 dias após a injeção e nenhum grau 3 ou pior eventos adversos. A reação adversa mais comum foi dor no local da injeção, seguida de febre, que foi leve e autolimitada. Os títulos médios geométricos de anticorpos neutralizantes variaram de 102,2 a 1065,5 em participantes vacinados aos 28 dias após a terceira vacinação e mantiveram-se em uma faixa de 14,3 a 218,2 no dia 180 após a terceira vacinação. WIBP-CorV provocou títulos significativamente mais elevados de anticorpos neutralizantes na coorte com idades entre 3-5 anos do que as outras duas coortes. Não houve respostas de anticorpos detectáveis em todos os grupos apenas de alúmen. Em conjunto, nossos dados demonstram que o WIBP-CorV é seguro e bem tolerado em todas as doses testadas em participantes de 3 a 17 anos, e provocou respostas humorais robustas contra SARS-CoV-2 que duraram pelo menos 6 meses após a terceira vacinação. Este estudo está em andamento e está registrado em www.chictr.org.cn, ChiCTR2000031809.
The effect of early treatment with ivermectin on viral load, symptoms and humoral response in patients with mild COVID-19: a pilot, double-blind, placebo-controlled, randomized clinical trial.	https://doi.org/10.21203/rs.3.rs-116547/v1	07/12/2020	Preprint	10.21203/rs.3.rs-116547/v1	-	-	-	-	-	-	-	-	['Ivermectina']	['Ivermectin']	-	-	-	-	-	O efeito do tratamento precoce com ivermectina na carga viral, sintomas e resposta humoral em pacientes com COVID-19 leve: um ensaio clínico piloto, duplo-cego, controlado por placebo e randomizado. 	-
Ivermectin as an adjunct treatment for hospitalized adult COVID-19 patients: A randomized multi-center clinical trial.	https://doi.org/10.21203/rs.3.rs-109670/v1	24/11/2020	Preprint	10.21203/rs.3.rs-109670/v1	-	-	-	-	-	-	-	-	['Ivermectina']	['Ivermectin']	-	-	-	-	-	Ivermectina como tratamento adjuvante para pacientes adultos hospitalizados com COVID-19: Um ensaio clínico multicêntrico randomizado. 	-
Phase II Clinical trial for Evaluation of BCG as potential therapy for COVID-19	https://doi.org/10.1101/2020.10.28.20221630	03/11/2020	Preprint	10.1101/2020.10.28.20221630	-	-	-	-	-	-	-	-	['Vacina BCG']	['BCG vaccine']	-	-	-	-	-	Fase II Ensaio clínico para avaliação do BCG como terapia potencial para COVID-19 	-
Safety, Tolerability, and Immunogenicity of COVID-19 Vaccines: A Systematic Review and Meta-Analysis	https://doi.org/10.1101/2020.11.03.20224998	04/11/2020	Preprint	10.1101/2020.11.03.20224998	-	-	-	-	-	-	-	-	['Ad5-nCoV', 'CoronaVac', 'Vacina BNT162', 'Vacina de vírus inativado', 'Vacina NVX-CoV2373']	['Ad5-nCoV', 'CoronaVac', 'BNT162 vaccine', 'Inactivated virus vaccine', 'NVX-CoV2373 vaccine']	We aimed to summarize reliable medical evidence by the meta-analysis of all published clinical trials that investigated the safety, tolerability, and immunogenicity of vaccine candidates against coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The PubMed, Cochrane Library, EMBASE, and medRxiv databases were used to select the studies. 7094 articles were identified initially and 43 were retrieved for more detailed evaluation. 5 randomized, double-blind, placebo-controlled trials were selected. A total of 1604 subjects with either vaccines or placebo infections were included in the meta-analysis within the scope of these articles. According to the results, there is an increase in total adverse events for subjects with either low (95% 	33173896	medRxiv : the preprint server for health sciences	1742-1241	10.1101/2020.11.03.20224998	Segurança, tolerabilidade e imunogenicidade das vacinas COVID-19: uma revisão sistemática e meta-análise 	Nosso objetivo foi resumir evidências médicas confiáveis pela meta-análise de todos os ensaios clínicos publicados que investigaram a segurança, tolerabilidade e imunogenicidade de vacinas candidatas contra o coronavírus doença 2019 (COVID-19), causada pelo coronavírus 2 da síndrome respiratória aguda grave (SARS-CoV-2). As bases de dados PubMed, Cochrane Library, EMBASE e medRxiv foram usadas para selecionar os estudos. 7.094 artigos foram identificados inicialmente e 43 foram recuperados para avaliação mais detalhada. 5 ensaios randomizados, duplo-cegos, controlados por placebo foram selecionados. Um total de 1604 indivíduos com vacinas ou infecções por placebo foram incluídos na meta-análise no âmbito destes artigos. De acordo com os resultados, há um aumento no total de eventos adversos para indivíduos com baixa (95%
Controlled randomized clinical trial on using Ivermectin with Doxycycline for treating COVID-19 patients in Baghdad, Iraq	https://doi.org/10.1101/2020.10.26.20219345	27/10/2020	Preprint	10.1101/2020.10.26.20219345	-	-	-	-	-	-	-	-	['Doxiciclina', 'Ivermectina']	['Doxycycline', 'Ivermectin']	-	-	-	-	-	Ensaio clínico randomizado controlado sobre o uso de ivermectina com doxiciclina no tratamento de pacientes com COVID-19 em Bagdá, Iraque 	-
Efficacy and Safety of Arbidol in Treatment of Patients with COVID-19 Infection: A Randomized Clinical Trial	https://doi.org/10.21203/rs.3.rs-91430/v1	19/10/2020	Preprint	10.21203/rs.3.rs-91430/v1	-	-	-	-	-	-	-	-	['Umifenovir']	['Umifenovir']	-	-	-	-	-	Eficácia e segurança do Arbidol no tratamento de pacientes com infecção por COVID-19: um ensaio clínico randomizado 	-
Systematic review and patient-level meta-analysis of SARS-CoV-2 viral dynamics to model response to antiviral therapies	https://doi.org/10.1101/2020.08.20.20178699	23/09/2020	Preprint	10.1101/2020.08.20.20178699	-	-	-	-	-	-	-	-	['Interferon', 'Lopinavir', 'Remdesivir', 'Ribavirina', 'Ritonavir']	['Interferon', 'Lopinavir', 'Remdesivir', 'Ribavirin', 'Ritonavir']	Severe acute respiratory syndrome-coronavirus 2 (SARS-CoV-2) viral loads change rapidly following symptom onset, so to assess antivirals it is important to understand the natural history and patient factors influencing this. We undertook an individual patient-level meta-analysis of SARS-CoV-2 viral dynamics in humans to describe viral dynamics and estimate the effects of antivirals used to date. This systematic review identified case reports, case series, and clinical trial data from publications between January 1, 2020, and May 31, 2020, following Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. A multivariable Cox proportional hazards (Cox-PH) regression model of time to viral clearance was fitted to respiratory and stool samples. A simplified four parameter nonlinear mixed-effects (NLME) model was fitted to viral load trajectories in all sampling sites and covariate modeling of respiratory viral dynamics was performed to quantify time-dependent drug effects. Patient-level data from 645 individuals (age 1 month to 100 years) with 6,316 viral loads were extracted. Model-based simulations of viral load trajectories in samples from the upper and lower respiratory tract, stool, blood, urine, ocular secretions, and breast milk were generated. Cox-PH modeling showed longer time to viral clearance in older patients, men, and those with more severe disease. Remdesivir was associated with faster viral clearance (adjusted hazard ratio (AHR) = 9.19, P < 0.001), as well as interferon, particularly when combined with ribavirin (AHR = 2.2, P = 0.015; AHR = 6.04, P = 0.006). Combination therapy should be further investigated. A viral dynamic dataset and NLME model for designing and analyzing antiviral trials has been established.	33641159	Clinical pharmacology and therapeutics	1532-6535	10.1002/cpt.2223	Revisão sistemática e meta-análise no nível do paciente da dinâmica viral do SARS-CoV-2 para modelar a resposta às terapias antivirais 	As cargas virais da síndrome respiratória aguda grave-coronavírus 2 (SARS-CoV-2) mudam rapidamente após o início dos sintomas, para avaliar os antivirais é importante entender a história natural e os fatores do paciente que influenciam isso. Realizamos uma meta-análise individual da dinâmica viral do SARS-CoV-2 em humanos para descrever a dinâmica viral e estimar os efeitos dos antivirais usados até o momento. Esta revisão sistemática identificou relatos de casos, séries de casos e dados de ensaios clínicos de publicações entre 1º de janeiro de 2020 e 31 de maio de 2020, seguindo as diretrizes de Itens de Relatório Preferenciais para Revisões Sistemáticas e Meta-análises. Um modelo de regressão multivariável de riscos proporcionais de Cox (Cox-PH) de tempo para a depuração viral foi ajustado para amostras respiratórias e de fezes. Um modelo simplificado de efeitos mistos não lineares de quatro parâmetros (NLME) foi ajustado às trajetórias de carga viral em todos os locais de amostragem e a modelagem covariável da dinâmica viral respiratória foi realizada para quantificar os efeitos da droga dependentes do tempo. Dados em nível de paciente de 645 indivíduos (idade de 1 mês a 100 anos) com 6.316 cargas virais foram extraídos. Foram geradas simulações baseadas em modelos de trajetórias de carga viral em amostras do trato respiratório superior e inferior, fezes, sangue, urina, secreções oculares e leite materno. A modelagem de Cox-PH mostrou maior tempo para a eliminação viral em pacientes mais velhos, homens e aqueles com doença mais grave. O remdesivir foi associado a uma depuração viral mais rápida (taxa de risco ajustada (AHR) = 9,19, P < 0,001), bem como interferon, particularmente quando combinado com ribavirina (AHR = 2,2, P = 0,015; AHR = 6,04, P = 0,006). A terapia combinada deve ser mais investigada. Foi estabelecido um conjunto de dados dinâmicos virais e um modelo NLME para projetar e analisar ensaios antivirais.
The Impact of Colchicine on The COVID-19 Patients: A Clinical Trial Study	https://doi.org/10.21203/rs.3.rs-69374/v1	21/09/2020	Preprint	10.21203/rs.3.rs-69374/v1	-	-	-	-	-	-	-	-	['Colchicina']	['Colchicine']	-	-	-	-	-	O impacto da colchicina nos pacientes com COVID-19: um estudo clínico 	-
Early Anti-SARS-CoV-2 Convalescent Plasma in Patients Admitted for COVID-19: A Randomized Phase II Clinical Trial	https://doi.org/10.1101/2020.09.17.20196212	18/09/2020	Preprint	10.1101/2020.09.17.20196212	-	-	-	-	-	-	-	-	['Plasma convalescente']	['Convalescent Plasma']	NCT04375098.	33657114	PLoS medicine	1549-1676	10.1371/journal.pmed.1003415	Plasma Convalescente Anti-SARS-CoV-2 Precoce em Pacientes Admitidos por COVID-19: Um Ensaio Clínico Randomizado de Fase II 	NCT04375098.
The use of intravenous immunoglobulin gamma for the treatment of severe coronavirus disease 2019: A randomised placebo-controlled double-blind clinical trial	https://www.researchsquare.com/article/rs-40899/v2	04/09/2020	Preprint	https://www.researchsquare.com/article/rs-40899/v2	-	-	-	-	-	-	-	-	['Imunoglobulina']	['Immunoglobulin']	-	-	-	-	-	O uso de gama de imunoglobulina intravenosa para o tratamento da doença grave por coronavírus 2019: um ensaio clínico duplo-cego randomizado controlado por placebo 	-
Pre-exposure prophylaxis with hydroxychloroquine for COVID-19: initial results of a double-blind, placebo-controlled randomized clinical trial	https://www.researchsquare.com/article/rs-72132/v1	21/09/2020	Preprint	https://www.researchsquare.com/article/rs-72132/v1	-	-	-	-	-	-	-	-	['Hidroxicloroquina']	['Hydroxychloroquine']	-	-	-	-	-	Profilaxia pré-exposição com hidroxicloroquina para COVID-19: resultados iniciais de um ensaio clínico randomizado duplo-cego, controlado por placebo 	-
Early viral clearance among COVID-19 patients when gargling with Povidone-iodine and essential oils – a clinical trial	https://doi.org/10.1101/2020.09.07.20180448	09/09/2020	Preprint	10.1101/2020.09.07.20180448	-	-	-	-	-	-	-	-	['Iodopovidona']	['povidone iodine']	-	-	-	-	-	Depuração viral precoce entre pacientes com COVID-19 ao fazer gargarejo com iodopovidona e óleos essenciais - um ensaio clínico 	-
Treatment with an Anti-CK2 Synthetic Peptide Improves Clinical Response in Covid-19 Patients with Pneumonia. A Randomized and Controlled Clinical Trial.	https://doi.org/10.1101/2020.09.03.20187112	15/09/2020	Preprint	10.1101/2020.09.03.20187112	-	-	-	-	-	-	-	-	['CIGB-325 (Peptídeo anti-CK2)']	['CIGB-325 (Anti-CK2 Peptide)']	The instrumental role of CK2 in the SARS-CoV-2 infection has pointed out this protein kinase as promising therapeutic target in COVID-19. Anti-SARS-CoV-2 activity has been reported by CK2 inhibitors 	33615173	ACS pharmacology & translational science	2575-9108	10.1021/acsptsci.0c00175	Tratamento com Peptídeo Sintético Anti-CK2 Melhora a Resposta Clínica em Pacientes Covid-19 com Pneumonia. Um Ensaio Clínico Randomizado e Controlado. 	O papel instrumental da CK2 na infecção por SARS-CoV-2 apontou essa proteína quinase como alvo terapêutico promissor na COVID-19. Atividade anti-SARS-CoV-2 foi relatada por inibidores de CK2
