TECNOLOGIA	Título
Nitazoxanida	Early use of nitazoxanide in mild Covid-19 disease: randomised, placebo-controlled trial.
Plasma convalescente	Transfusion reactions associated with COVID-19 convalescent plasma therapy for SARS-CoV-2.
Hidroxicloroquina	Hydroxychloroquine in the treatment of outpatients with mildly symptomatic COVID-19: a multi-center observational study.
Corticosteroides	Corticosteroid treatment has no efect on hospital mortality in COVID‐19 patients.
Vacina (Ad26.COV2.S)	Interim Results of a Phase 1–2a Trial of Ad26.COV2.S Covid-19 Vaccine.
Vacina (Ad26.COV2.S)	Interim Results of a Phase 1–2a Trial of Ad26.COV2.S Covid-19 Vaccine.
Prednisona	The use of methylprednisolone in COVID-19 patients: A propensity score matched retrospective cohort study.
Cloroquina	Treatment of COVID-19 patients with hydroxychloroquine or chloroquine: A retrospective analysis.
Hidroxicloroquina	Treatment of COVID-19 patients with hydroxychloroquine or chloroquine: A retrospective analysis.
Imunoglobulina	Efficacy Evaluation of Intravenous Immunoglobulin in Non-severe Patients with COVID-19: A Retrospective Cohort Study Based on Propensity Score Matching.
Plasma convalescente	Convalescent Plasma Transfusion for the Treatment of COVID-19—Experience from Poland: A Multicenter Study.
Antagonistas da vitamina K (AVK)	Impact of oral anticoagulation on clinical outcomes of COVID‐19: a nationwide cohort study of hospitalized patients in Germany.
Anticoagulantes	Impact of oral anticoagulation on clinical outcomes of COVID‐19: a nationwide cohort study of hospitalized patients in Germany.
Própolis	Efficacy of propolis as an adjunct treatment for hospitalized COVID-19 patients: a randomized, controlled clinical trial.
Azitromicina	Cardiovascular Comorbidities and Pharmacological Treatments of COVID-19 Patients Not Requiring Hospitalization.
Corticosteroides	Cardiovascular Comorbidities and Pharmacological Treatments of COVID-19 Patients Not Requiring Hospitalization.
Heparina	Cardiovascular Comorbidities and Pharmacological Treatments of COVID-19 Patients Not Requiring Hospitalization.
Inibidores do Sistema Renina-Angiotensina-Aldosterona (ISRAA)	Cardiovascular Comorbidities and Pharmacological Treatments of COVID-19 Patients Not Requiring Hospitalization.
Tocilizumabe	Matched cohort study on the efficacy of tocilizumab in patients with COVID-19.
Plasma convalescente	Therapeutic plasma exchange for coronavirus disease-2019 triggered cytokine release syndrome; a retrospective propensity matched control study.
