-	Regeneron's REGN-COV2 Antibody Cocktail Reduced Viral Levels and Improved Symptoms in Non-Hospitalized COVID-19 Patients
-	Baricitinib in Combination with Remdesivir Reduces Time to Recovery in Hospitalized Patients with COVID-19 in NIAID-Sponsored ACTT-2 Trial
-	"Low-cost dexamethasone reduces death by up to one third in hospitalised patients with severerespiratory complications of COVID-19"
-	Gilead Announces Results From Phase 3 Trial of Investigational Antiviral Remdesivir in Patients With Severe COVID-19
35905465	Treatment of COVID-19 patients with hydroxychloroquine or chloroquine: A retrospective analysis.
34311528	Efficacy of propolis as an adjunct treatment for hospitalized COVID-19 patients: a randomized, controlled clinical trial.
33573699	Safety and Effectiveness of High-Dose Vitamin C in Patients with COVID-19
35438223	Association between SSRI Antidepressant Use and Reduced Risk of Intubation or Death in Hospitalized Patients with Coronavirus Disease 2019: a Multicenter Retrospective Observational Study.
35631275	The impact of vitamin D supplementation on mortality rate and clinical outcomes of COVID-19 patients: A systematic review and meta-analysis.
-	Ivermectin shows clinical benefits in mild to moderate COVID19: A randomised controlled double blind dose response study in Lagos.
33737631	Lack of Association of Baseline 25-Hydroxyvitamin D Levels and Cholecalciferol Treatment With Disease Severity and Mortality in Indian Patients Hospitalized for Covid-19.
34294455	Prophylactic use of Hydroxychloroquine among Physicians working in Pandemic Hospitals.
33330889	Credible learning of hydroxychloroquine and dexamethasone effects on COVID-19 mortality outside of randomized trials.
-	Exposure to Renin-Angiotensin System Inhibitors Is Associated with Reduced Mortality of Older Hypertensive Covid-19 Patients.
35440611	Efficacy and Safety of Indomethacin in Covid -19 patients.
35812412	A Phase 1: Safety and Immunogenicity Trial of an Inactivated SARS-CoV-2 Vaccine-BBV152.
33574135	Early initiation of prophylactic anticoagulation for prevention of COVID-19 mortality: a nationwide cohort study of hospitalized patients in the United States.
-	BNT162b2 induces SARS-CoV-2-neutralising antibodies and T cells in humans.
-	The effect of early treatment with ivermectin on viral load, symptoms and humoral response in patients with mild COVID-19: a pilot, double-blind, placebo-controlled, randomized clinical trial.
-	Galectin antagonist use in mild cases of SARS-CoV-2 cases
